#Weight Bitstream
0.2 0000101000000000000000000000000000011001000000100000100010001000
0.55 1101111111001100101011001110110111011000001001111100100111000001
0.99 1111111111111111111111111111111111111111111111111111111111111111
0.77 1111111110011110011111101011011111110111111111111110111101111101
0.89 0111111111011110001111111111111111111110111101111111111111111010
0.81 1111011111111111111110111011111001111111111111011011011111001111
0.39 1000001110000000101000001001001001010011011000001110000111011000
0.69 0101110101101001101101011001110101011001100000111101011001011001
0.43 1000100011001000100100001110101011000001011101000100010010101001
0.8 1110111111101111011111111111111111011011111011111111111111111100
0.9 1111111111101111111111011011111111101110111111111101111011010111
0.3 0001110001100000100100010000001000100110000001001100100110010000
0.1 0000000000000001000001000000001000000000001001000000000100000000
0.25 0001000111000001000000111000001110000010000111000000101110000001
0.6 1000001110111011111111111001001100101110101101011100110011111111
0.75 0011111111110100001010101011110111111010011110011010111111111101
