#Weight Bitstream
0.2 0000110100010010001111010000000010100010000011000100010001000000
0.55 0111111110111110011011110001111010110111110001111111011101001010
0.99 1111111111111111111111111111111111111111111111111111111111111110
0.77 1111111101111111011011011111111101111111001111010111111110101111
0.89 1111111111111111111111111111111111111111111111111111010111111101
0.81 1011001110110111110011110001110011111101110111101011111111111101
0.39 1001000101011001111101001001100100111101111101101100011011001100
0.69 1010110001011011101011001101110011011101100111100101111111101000
0.43 1111100101010100110101111111000011110000111110111100001110101000
0.8 1011010011111111111111010111011110111111110010111001011011111000
0.9 1111101111011111111101101101101111111111101111111111111111111111
0.3 1001000110010011000100011111000101010111110000101001100100101001
0.1 0001110010000000100100001000001000000101000000001000000100010000
0.25 0000010000000101100100000000110101010000110000000000000001000000
0.6 0111111110110011110011001111110001011111101111111101100111011100
0.75 1111110010111110111001110111110111101111011111111110111111011011
