#Weight Bitstream
0.2 00000000101000011101000000111001101001001000100110110011101010001000010100000001101000101101011000000011111110101010010001101001
0.55 11111011111010111110101010111101100101101111101100111110011111110111111111101111011101101101111101111011110110111101010111110101
0.99 11111111111111111111111101011111111111111011111011111111111111111111011011011111111111111111111001111111111111111111111111101011
0.77 01111101111010001110011001101011011011111001001110101011101101000100111110011101001111110001011111001000011111111011111010001101
0.89 10101101111111111010111101010111111000111011010110111110010011100110110101111011111100110101101111101100101011101011111101010111
0.81 01110110111011111111111111111111011111111111111011111011101111010111111010111111011111111111111111111111111111111111111111111111
0.39 10011100110100000110001001110101101001111010000110000100011111011000010101001010011111001000010010100111110000100010101101101001
0.69 11111111111110110111111111111101111111101011110010111101101011101111011101011111111011111111111011100111101011111111011111011001
0.43 10110010110111011011000001011110001010111011100000110001011010000111000011000101101111010011001000010011000010100110101001001011
0.8 10111100001111110001100111100110111111011110010101010000001100100101000000011011001000001010010001101000011111101011111000001101
0.9 11001111110101100101011110001100101110101000100011011101111110111010101001110101111111110011111010100101101111110011110111110010
0.3 11001101101110011100010111010111010001101110011001101101010111001111010001010010100001000101000101011011011000011010000010100010
0.1 00000001000010000000000000010000010000000000000000000000000100000000000010000000000000000000001000000000000000000000000001000000
0.25 00110001001100010010011010100010010110100010011000110101000111010111000101010001011000000010000110100001001110000101000101111100
0.6 01110100101111100100100010110101110001000101110101100010001000110010001101000010001111110001001010011010011100111010000100000101
0.75 11111011111111111111011111111111111111111111111110111101111110111111111111111111111111011101101111101001111101110100111101111111
