#Weight Bitstream
0.2 01011000000000000000001000010000
0.55 00000100100011110100000101011101
0.99 11111111111111111111111111111111
0.77 11111111010011111110100111111101
0.89 11111111111111111011111111011111
0.81 11111011011111101111111111111111
0.39 00010100110000011110001110010000
0.69 00110111111111011001011111011111
0.43 00011010010100100100011011001001
0.8 01111011111111111111011111111011
0.9 01111101111111111011111111111111
0.3 00111101001000100000110011000011
0.1 00000000010000000100000010000000
0.25 01100000001100000100101011000010
0.6 01001011001001110111011001100101
0.75 10011111011111010101111111110110
